=== Country Statistics ===
Total Servers (Merged): 5536
Successful Geo-IP Resolutions: 5480
Failed Geo-IP Resolutions: 56
Unknown              : 1209
Domain               : 1106
US                   : 702
GB                   : 408
DE                   : 376
NL                   : 329
RU                   : 171
FR                   : 141
CA                   : 91
AE                   : 80
SG                   : 78
HK                   : 66
JP                   : 55
SE                   : 48
TR                   : 46
FI                   : 40
PL                   : 37
KR                   : 37
IT                   : 37
RO                   : 30
SC                   : 28
LT                   : 26
CY                   : 25
LV                   : 19
TW                   : 19
ES                   : 16
EE                   : 16
CZ                   : 15
BR                   : 15
KZ                   : 14
BG                   : 14
MD                   : 14
IR                   : 13
DK                   : 12
IQ                   : 12
IL                   : 12
IN                   : 12
CN                   : 10
RS                   : 10
ZA                   : 10
CH                   : 8
VN                   : 7
TH                   : 7
IE                   : 6
AM                   : 6
CL                   : 6
AU                   : 5
UA                   : 5
ID                   : 4
LU                   : 4
GT                   : 4
AT                   : 4
IM                   : 3
MY                   : 2
AL                   : 2
CO                   : 2
NO                   : 2
NZ                   : 1
QA                   : 1
GR                   : 1
MH                   : 1

=== Server Type Summary ===
VLESS                : 3568
CDN                  : 2186
SS                   : 667
TROJAN               : 510
VMESS                : 495
HYSTERIA2            : 294
TUIC                 : 2
HYSTERIA             : 0
WIREGUARD            : 0
WARP                 : 0

=== Channel Statistics (Extraction) ===
configs                       : 1064
mix                           : 331
proxy_configs_tested          : 197
base64                        : 181
V2RAY_RAW                     : 146
v2cnf                         : 100
v2ray_extractor               : 100
freevpnchina                  : 100
v2roay                        : 100
v2raynplus                    : 100
tv2rayrr                      : 85
oneclickvpnkeys               : 76
FreakConfig                   : 64
new_mtproxi2                  : 43
SNI_SPOOFINGconfig            : 35
sub_1                         : 27
NetShot1                      : 20
SparrK_VPN                    : 18
persianvpnhub                 : 15
Maznet                        : 11
cloudflare-base64             : 9
vpnbaz                        : 9
dingyue_center                : 7
vpn_m2s                       : 6
artemisvpn1                   : 0
ConfiingPro                   : 0
openproxylist_text            : 0
Do1rcci                       : 0
ConfigX2ray                   : 0
all_configs                   : 0
pro_exi                       : 0
TheVPNMethod                  : 0
byiroh                        : 0
pythash                       : 0
wbnet                         : 0
BrilliantGift                 : 0
v2to_nadi                     : 0
vpntrt                        : 0
saministamm                   : 0
ParsiNetFree                  : 0
oliver_soul                   : 0
xixv2ray                      : 0
NetAccount                    : 0
whitedns                      : 0
